record_id,source_record_id,scenario_family,source_name,source_file,event_type,biz_step,expected_ctes,predicted_ctes,expected_abstentions,predicted_abstentions,status,errors
web2000-0106,00000134,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0107,00000135,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0108,00000136,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0109,00000137,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0110,00000139,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0111,00000140,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0112,00000141,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0113,00000142,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0114,00000143,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0115,00000144,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0116,00000145,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0117,00000146,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0118,00000147,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
web2000-0119,00000148,open_food_facts_product_metadata,Open Food Facts static bulk TSV,en.openfoodfacts.org.products.csv.gz,product_metadata,,[],[],[],[],pass,[]
